0.360000, 0.074687, -0.000685, 9.925069, -0.000243, 0.000245, -9.925072, 0.203725, -0.003711, -0.205055, -0.001316, 0.001330, 0.205027
0.370000, 0.076724, -0.000722, 9.923018, -0.000256, 0.000258, -9.923021, 0.203827, -0.003812, -0.205193, -0.001352, 0.001366, 0.205164
0.380000, 0.078763, -0.000761, 9.920965, -0.000270, 0.000272, -9.920969, 0.203929, -0.003913, -0.205332, -0.001388, 0.001403, 0.205301
0.390000, 0.080803, -0.000801, 9.918911, -0.000284, 0.000286, -9.918915, 0.204031, -0.004014, -0.205471, -0.001424, 0.001440, 0.205438
0.400000, 0.082844, -0.000841, 9.916856, -0.000298, 0.000301, -9.916860, 0.204133, -0.004115, -0.205610, -0.001459, 0.001476, 0.205575
0.410000, 0.084886, -0.000883, 9.914799, -0.000313, 0.000316, -9.914804, 0.204235, -0.004217, -0.205748, -0.001495, 0.001513, 0.205712
0.420000, 0.086928, -0.000926, 9.912741, -0.000328, 0.000331, -9.912746, 0.204338, -0.004318, -0.205887, -0.001531, 0.001550, 0.205849
0.430000, 0.088972, -0.000969, 9.910681, -0.000344, 0.000347, -9.910687, 0.204440, -0.004419, -0.206027, -0.001567, 0.001587, 0.205986
0.440000, 0.091017, -0.001014, 9.908620, -0.000360, 0.000363, -9.908626, 0.204542, -0.004521, -0.206166, -0.001603, 0.001624, 0.206124
0.450000, 0.093063, -0.001060, 9.906558, -0.000376, 0.000379, -9.906564, 0.204645, -0.004622, -0.206305, -0.001639, 0.001660, 0.206261
0.460000, 0.095110, -0.001106, 9.904494, -0.000392, 0.000396, -9.904501, 0.204747, -0.004723, -0.206444, -0.001675, 0.001697, 0.206398
0.470000, 0.097158, -0.001154, 9.902429, -0.000409, 0.000413, -9.902437, 0.204850, -0.004825, -0.206584, -0.001711, 0.001734, 0.206536
0.480000, 0.099207, -0.001203, 9.900362, -0.000427, 0.000431, -9.900370, 0.204952, -0.004927, -0.206724, -0.001747, 0.001771, 0.206674
0.490000, 0.101257, -0.001253, 9.898294, -0.000444, 0.000448, -9.898303, 0.205055, -0.005028, -0.206863, -0.001783, 0.001808, 0.206811
0.500000, 0.103308, -0.001303, 9.896225, -0.000462, 0.000467, -9.896234, 0.205158, -0.005130, -0.207003, -0.001819, 0.001845, 0.206949
0.510000, 0.105360, -0.001355, 9.894154, -0.000481, 0.000485, -9.894164, 0.205261, -0.005231, -0.207143, -0.001855, 0.001883, 0.207087
0.520000, 0.107413, -0.001408, 9.892082, -0.000499, 0.000504, -9.892093, 0.205363, -0.005333, -0.207283, -0.001891, 0.001920, 0.207224
0.530000, 0.109468, -0.001462, 9.890009, -0.000518, 0.000524, -9.890020, 0.205466, -0.005435, -0.207423, -0.001927, 0.001957, 0.207362
0.540000, 0.111523, -0.001517, 9.887934, -0.000538, 0.000544, -9.887945, 0.205569, -0.005537, -0.207563, -0.001963, 0.001994, 0.207500
0.550000, 0.113579, -0.001573, 9.885857, -0.000558, 0.000564, -9.885870, 0.205672, -0.005639, -0.207704, -0.001999, 0.002031, 0.207638
0.560000, 0.115636, -0.001630, 9.883780, -0.000578, 0.000584, -9.883793, 0.205776, -0.005740, -0.207844, -0.002036, 0.002069, 0.207776
0.570000, 0.117694, -0.001688, 9.881701, -0.000598, 0.000605, -9.881714, 0.205879, -0.005842, -0.207985, -0.002072, 0.002106, 0.207914
0.580000, 0.119754, -0.001746, 9.879620, -0.000619, 0.000626, -9.879634, 0.205982, -0.005944, -0.208125, -0.002108, 0.002143, 0.208052
0.590000, 0.121814, -0.001806, 9.877538, -0.000641, 0.000648, -9.877553, 0.206085, -0.006046, -0.208266, -0.002144, 0.002181, 0.208190
0.600000, 0.123875, -0.001867, 9.875455, -0.000662, 0.000670, -9.875470, 0.206189, -0.006148, -0.208407, -0.002180, 0.002218, 0.208329
0.610000, 0.125938, -0.001929, 9.873370, -0.000684, 0.000692, -9.873386, 0.206292, -0.006251, -0.208548, -0.002216, 0.002256, 0.208467
0.620000, 0.128001, -0.001992, 9.871284, -0.000707, 0.000715, -9.871301, 0.206396, -0.006353, -0.208689, -0.002253, 0.002293, 0.208605
0.630000, 0.130066, -0.002056, 9.869196, -0.000729, 0.000738, -9.869214, 0.206500, -0.006455, -0.208830, -0.002289, 0.002331, 0.208744
0.640000, 0.132131, -0.002121, 9.867107, -0.000752, 0.000762, -9.867126, 0.206603, -0.006557, -0.208972, -0.002325, 0.002368, 0.208882
